[15:07:21.775] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT-MT-BAM-LABEL', max_iterations=6000, batch_size=4, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[15:07:22.893] 8 itertations per epoch
[15:37:17.462] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT-MT-BAM-LABEL', max_iterations=6000, batch_size=4, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[15:37:17.786] 8 itertations per epoch
[15:37:20.151] iteration 1 : loss : 0.599777 cons_dist: 0.116453, loss_weight: 0.000674
[15:37:21.043] iteration 2 : loss : 0.571773 cons_dist: 0.057314, loss_weight: 0.000674
[15:37:21.932] iteration 3 : loss : 0.597159 cons_dist: 0.036915, loss_weight: 0.000674
[15:37:22.823] iteration 4 : loss : 0.511490 cons_dist: 0.050607, loss_weight: 0.000674
[15:37:23.713] iteration 5 : loss : 0.560942 cons_dist: 0.017490, loss_weight: 0.000674
[15:37:24.605] iteration 6 : loss : 0.581859 cons_dist: 0.092657, loss_weight: 0.000674
[15:37:25.499] iteration 7 : loss : 0.559602 cons_dist: 0.046622, loss_weight: 0.000674
[15:37:26.391] iteration 8 : loss : 0.556547 cons_dist: 0.043734, loss_weight: 0.000674
[15:37:27.842] iteration 9 : loss : 0.515664 cons_dist: 0.019136, loss_weight: 0.000674
[15:37:28.736] iteration 10 : loss : 0.406861 cons_dist: 0.018543, loss_weight: 0.000674
[15:37:29.628] iteration 11 : loss : 0.504777 cons_dist: 0.016210, loss_weight: 0.000674
[15:37:30.523] iteration 12 : loss : 0.458155 cons_dist: 0.023263, loss_weight: 0.000674
[15:37:31.418] iteration 13 : loss : 0.533781 cons_dist: 0.026299, loss_weight: 0.000674
[15:37:32.316] iteration 14 : loss : 0.474884 cons_dist: 0.076311, loss_weight: 0.000674
[15:37:33.211] iteration 15 : loss : 0.464050 cons_dist: 0.049882, loss_weight: 0.000674
[15:37:34.108] iteration 16 : loss : 0.476019 cons_dist: 0.004459, loss_weight: 0.000674
[15:37:35.552] iteration 17 : loss : 0.498390 cons_dist: 0.014173, loss_weight: 0.000674
[15:37:36.453] iteration 18 : loss : 0.478365 cons_dist: 0.015176, loss_weight: 0.000674
[15:37:37.351] iteration 19 : loss : 0.535064 cons_dist: 0.010164, loss_weight: 0.000674
[15:37:38.249] iteration 20 : loss : 0.447188 cons_dist: 0.011394, loss_weight: 0.000674
[15:37:39.149] iteration 21 : loss : 0.527298 cons_dist: 0.067072, loss_weight: 0.000674
[15:37:40.048] iteration 22 : loss : 0.441564 cons_dist: 0.040128, loss_weight: 0.000674
[15:37:40.949] iteration 23 : loss : 0.465034 cons_dist: 0.011217, loss_weight: 0.000674
[15:37:41.854] iteration 24 : loss : 0.383689 cons_dist: 0.015848, loss_weight: 0.000674
[15:37:43.396] iteration 25 : loss : 0.458219 cons_dist: 0.007384, loss_weight: 0.000674
[15:37:44.297] iteration 26 : loss : 0.481674 cons_dist: 0.019353, loss_weight: 0.000674
[15:37:45.199] iteration 27 : loss : 0.431311 cons_dist: 0.019857, loss_weight: 0.000674
[15:37:46.100] iteration 28 : loss : 0.453382 cons_dist: 0.014158, loss_weight: 0.000674
[15:37:47.005] iteration 29 : loss : 0.442995 cons_dist: 0.008769, loss_weight: 0.000674
[15:37:47.908] iteration 30 : loss : 0.492075 cons_dist: 0.014474, loss_weight: 0.000674
[15:37:48.810] iteration 31 : loss : 0.439726 cons_dist: 0.016232, loss_weight: 0.000674
[15:37:49.712] iteration 32 : loss : 0.465163 cons_dist: 0.006210, loss_weight: 0.000674
[15:37:51.296] iteration 33 : loss : 0.357750 cons_dist: 0.012126, loss_weight: 0.000674
[15:37:52.203] iteration 34 : loss : 0.357089 cons_dist: 0.007792, loss_weight: 0.000674
[15:37:53.111] iteration 35 : loss : 0.461111 cons_dist: 0.024202, loss_weight: 0.000674
[15:37:54.015] iteration 36 : loss : 0.448901 cons_dist: 0.012233, loss_weight: 0.000674
[15:37:54.922] iteration 37 : loss : 0.430784 cons_dist: 0.012589, loss_weight: 0.000674
[15:37:55.829] iteration 38 : loss : 0.474021 cons_dist: 0.007419, loss_weight: 0.000674
[15:37:56.735] iteration 39 : loss : 0.451482 cons_dist: 0.005754, loss_weight: 0.000674
[15:37:57.642] iteration 40 : loss : 0.427349 cons_dist: 0.011695, loss_weight: 0.000674
[15:37:59.217] iteration 41 : loss : 0.433534 cons_dist: 0.017193, loss_weight: 0.000674
[15:38:00.128] iteration 42 : loss : 0.396584 cons_dist: 0.023297, loss_weight: 0.000674
[15:38:01.034] iteration 43 : loss : 0.442532 cons_dist: 0.015364, loss_weight: 0.000674
[15:38:01.942] iteration 44 : loss : 0.390793 cons_dist: 0.005389, loss_weight: 0.000674
[15:38:02.848] iteration 45 : loss : 0.450152 cons_dist: 0.017257, loss_weight: 0.000674
