[17:17:35.890] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UA-MT-unlabel', max_iterations=6000, batch_size=4, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[17:17:36.204] 8 itertations per epoch
[17:17:38.009] iteration 1 : loss : 0.642443 cons_dist: 0.200542, loss_weight: 0.000674
[17:17:38.489] iteration 2 : loss : 0.661906 cons_dist: 0.038006, loss_weight: 0.000674
[17:17:38.967] iteration 3 : loss : 0.586215 cons_dist: 0.013669, loss_weight: 0.000674
[17:17:39.443] iteration 4 : loss : 0.549745 cons_dist: 0.017808, loss_weight: 0.000674
[17:17:39.919] iteration 5 : loss : 0.551488 cons_dist: 0.024290, loss_weight: 0.000674
[17:17:40.396] iteration 6 : loss : 0.602264 cons_dist: 0.023115, loss_weight: 0.000674
[17:17:40.872] iteration 7 : loss : 0.568413 cons_dist: 0.036406, loss_weight: 0.000674
[17:17:41.353] iteration 8 : loss : 0.594320 cons_dist: 0.010139, loss_weight: 0.000674
[17:17:42.420] iteration 9 : loss : 0.502219 cons_dist: 0.009893, loss_weight: 0.000674
[17:17:42.898] iteration 10 : loss : 0.403009 cons_dist: 0.019485, loss_weight: 0.000674
[17:17:43.376] iteration 11 : loss : 0.509003 cons_dist: 0.024117, loss_weight: 0.000674
[17:17:43.856] iteration 12 : loss : 0.463169 cons_dist: 0.006537, loss_weight: 0.000674
[17:17:44.337] iteration 13 : loss : 0.489583 cons_dist: 0.026554, loss_weight: 0.000674
[17:17:44.816] iteration 14 : loss : 0.464544 cons_dist: 0.006575, loss_weight: 0.000674
[17:17:45.296] iteration 15 : loss : 0.455377 cons_dist: 0.007497, loss_weight: 0.000674
[17:17:45.777] iteration 16 : loss : 0.465188 cons_dist: 0.052787, loss_weight: 0.000674
[17:17:46.865] iteration 17 : loss : 0.484171 cons_dist: 0.005135, loss_weight: 0.000674
[17:17:47.346] iteration 18 : loss : 0.458244 cons_dist: 0.008139, loss_weight: 0.000674
[17:17:47.826] iteration 19 : loss : 0.519011 cons_dist: 0.074379, loss_weight: 0.000674
[17:17:48.308] iteration 20 : loss : 0.446782 cons_dist: 0.005766, loss_weight: 0.000674
[17:17:48.789] iteration 21 : loss : 0.467509 cons_dist: 0.005411, loss_weight: 0.000674
[17:17:49.271] iteration 22 : loss : 0.485831 cons_dist: 0.017313, loss_weight: 0.000674
[17:17:49.752] iteration 23 : loss : 0.452098 cons_dist: 0.106350, loss_weight: 0.000674
[17:17:50.233] iteration 24 : loss : 0.400404 cons_dist: 0.038766, loss_weight: 0.000674
[17:17:51.361] iteration 25 : loss : 0.476885 cons_dist: 0.009010, loss_weight: 0.000674
[17:17:51.841] iteration 26 : loss : 0.420833 cons_dist: 0.010765, loss_weight: 0.000674
[17:17:52.322] iteration 27 : loss : 0.452990 cons_dist: 0.009899, loss_weight: 0.000674
[17:17:52.803] iteration 28 : loss : 0.424241 cons_dist: 0.019730, loss_weight: 0.000674
[17:17:53.284] iteration 29 : loss : 0.393016 cons_dist: 0.014815, loss_weight: 0.000674
[17:17:53.765] iteration 30 : loss : 0.422694 cons_dist: 0.006964, loss_weight: 0.000674
[17:17:54.246] iteration 31 : loss : 0.432227 cons_dist: 0.010169, loss_weight: 0.000674
[17:17:54.728] iteration 32 : loss : 0.460147 cons_dist: 0.034322, loss_weight: 0.000674
[17:17:55.861] iteration 33 : loss : 0.391612 cons_dist: 0.004611, loss_weight: 0.000674
[17:17:56.344] iteration 34 : loss : 0.402548 cons_dist: 0.004348, loss_weight: 0.000674
[17:17:56.826] iteration 35 : loss : 0.430946 cons_dist: 0.009179, loss_weight: 0.000674
[17:17:57.308] iteration 36 : loss : 0.443916 cons_dist: 0.012276, loss_weight: 0.000674
[17:17:57.791] iteration 37 : loss : 0.433080 cons_dist: 0.014788, loss_weight: 0.000674
[17:17:58.273] iteration 38 : loss : 0.436034 cons_dist: 0.006412, loss_weight: 0.000674
[17:17:58.756] iteration 39 : loss : 0.472285 cons_dist: 0.023101, loss_weight: 0.000674
[17:17:59.239] iteration 40 : loss : 0.406980 cons_dist: 0.008999, loss_weight: 0.000674
[17:18:00.350] iteration 41 : loss : 0.400348 cons_dist: 0.008014, loss_weight: 0.000674
[17:18:00.835] iteration 42 : loss : 0.463909 cons_dist: 0.037620, loss_weight: 0.000674
[17:18:01.318] iteration 43 : loss : 0.489856 cons_dist: 0.041150, loss_weight: 0.000674
[17:18:01.801] iteration 44 : loss : 0.415570 cons_dist: 0.003269, loss_weight: 0.000674
[17:18:02.285] iteration 45 : loss : 0.421312 cons_dist: 0.003105, loss_weight: 0.000674
[17:18:02.769] iteration 46 : loss : 0.501064 cons_dist: 0.007073, loss_weight: 0.000674
[17:18:03.253] iteration 47 : loss : 0.430227 cons_dist: 0.005343, loss_weight: 0.000674
[17:18:03.740] iteration 48 : loss : 0.473752 cons_dist: 0.019837, loss_weight: 0.000674
[17:18:04.880] iteration 49 : loss : 0.360690 cons_dist: 0.014066, loss_weight: 0.000674
[17:18:05.364] iteration 50 : loss : 0.431773 cons_dist: 0.009244, loss_weight: 0.000674
[17:18:06.029] iteration 51 : loss : 0.456277 cons_dist: 0.015086, loss_weight: 0.000674
[17:18:06.513] iteration 52 : loss : 0.431089 cons_dist: 0.003317, loss_weight: 0.000674
[17:18:06.998] iteration 53 : loss : 0.447286 cons_dist: 0.007351, loss_weight: 0.000674
[17:18:07.483] iteration 54 : loss : 0.437979 cons_dist: 0.004548, loss_weight: 0.000674
[17:18:07.967] iteration 55 : loss : 0.399247 cons_dist: 0.018037, loss_weight: 0.000674
[17:18:08.452] iteration 56 : loss : 0.370590 cons_dist: 0.015881, loss_weight: 0.000674
[17:18:09.553] iteration 57 : loss : 0.371264 cons_dist: 0.002353, loss_weight: 0.000674
[17:18:10.038] iteration 58 : loss : 0.378759 cons_dist: 0.005879, loss_weight: 0.000674
[17:18:10.525] iteration 59 : loss : 0.428862 cons_dist: 0.015761, loss_weight: 0.000674
[17:18:11.011] iteration 60 : loss : 0.415439 cons_dist: 0.009331, loss_weight: 0.000674
[17:18:11.496] iteration 61 : loss : 0.376537 cons_dist: 0.003563, loss_weight: 0.000674
[17:18:11.982] iteration 62 : loss : 0.386085 cons_dist: 0.004797, loss_weight: 0.000674
[17:18:12.467] iteration 63 : loss : 0.355626 cons_dist: 0.004525, loss_weight: 0.000674
[17:18:12.953] iteration 64 : loss : 0.289482 cons_dist: 0.005830, loss_weight: 0.000674
[17:18:14.058] iteration 65 : loss : 0.379298 cons_dist: 0.005367, loss_weight: 0.000674
[17:18:14.545] iteration 66 : loss : 0.344216 cons_dist: 0.012666, loss_weight: 0.000674
[17:18:15.031] iteration 67 : loss : 0.310656 cons_dist: 0.006199, loss_weight: 0.000674
[17:18:15.518] iteration 68 : loss : 0.395678 cons_dist: 0.042681, loss_weight: 0.000674
[17:18:16.005] iteration 69 : loss : 0.385554 cons_dist: 0.011372, loss_weight: 0.000674
[17:18:16.492] iteration 70 : loss : 0.365007 cons_dist: 0.003425, loss_weight: 0.000674
[17:18:16.979] iteration 71 : loss : 0.327903 cons_dist: 0.020789, loss_weight: 0.000674
[17:18:17.466] iteration 72 : loss : 0.490997 cons_dist: 0.010230, loss_weight: 0.000674
[17:18:18.670] iteration 73 : loss : 0.350391 cons_dist: 0.011487, loss_weight: 0.000674
[17:18:19.156] iteration 74 : loss : 0.399430 cons_dist: 0.026798, loss_weight: 0.000674
[17:18:19.645] iteration 75 : loss : 0.305978 cons_dist: 0.006932, loss_weight: 0.000674
[17:18:20.131] iteration 76 : loss : 0.307481 cons_dist: 0.006973, loss_weight: 0.000674
[17:18:20.618] iteration 77 : loss : 0.329696 cons_dist: 0.005616, loss_weight: 0.000674
[17:18:21.105] iteration 78 : loss : 0.400109 cons_dist: 0.010555, loss_weight: 0.000674
