[17:31:20.293] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT-MT-BAM-UNLABEL', max_iterations=6000, batch_size=4, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[17:31:20.614] 8 itertations per epoch
[17:31:23.156] iteration 1 : loss : 0.599777 cons_dist: 0.116453, loss_weight: 0.000674
[17:31:24.047] iteration 2 : loss : 0.571773 cons_dist: 0.057314, loss_weight: 0.000674
[17:31:24.936] iteration 3 : loss : 0.597159 cons_dist: 0.036915, loss_weight: 0.000674
[17:31:25.827] iteration 4 : loss : 0.511490 cons_dist: 0.050607, loss_weight: 0.000674
[17:31:26.716] iteration 5 : loss : 0.560942 cons_dist: 0.017490, loss_weight: 0.000674
[17:31:27.606] iteration 6 : loss : 0.581859 cons_dist: 0.092657, loss_weight: 0.000674
[17:31:28.498] iteration 7 : loss : 0.559602 cons_dist: 0.046622, loss_weight: 0.000674
[17:31:29.387] iteration 8 : loss : 0.556547 cons_dist: 0.043734, loss_weight: 0.000674
[17:31:30.850] iteration 9 : loss : 0.515664 cons_dist: 0.019136, loss_weight: 0.000674
[17:31:31.744] iteration 10 : loss : 0.406861 cons_dist: 0.018543, loss_weight: 0.000674
[17:31:32.638] iteration 11 : loss : 0.504777 cons_dist: 0.016210, loss_weight: 0.000674
[17:31:33.532] iteration 12 : loss : 0.458155 cons_dist: 0.023263, loss_weight: 0.000674
[17:31:34.426] iteration 13 : loss : 0.533781 cons_dist: 0.026299, loss_weight: 0.000674
[17:31:35.322] iteration 14 : loss : 0.474884 cons_dist: 0.076311, loss_weight: 0.000674
[17:31:36.219] iteration 15 : loss : 0.464050 cons_dist: 0.049882, loss_weight: 0.000674
[17:31:37.112] iteration 16 : loss : 0.476019 cons_dist: 0.004459, loss_weight: 0.000674
[17:31:38.578] iteration 17 : loss : 0.498390 cons_dist: 0.014173, loss_weight: 0.000674
[17:31:39.471] iteration 18 : loss : 0.478365 cons_dist: 0.015176, loss_weight: 0.000674
[17:31:40.369] iteration 19 : loss : 0.535064 cons_dist: 0.010164, loss_weight: 0.000674
[17:31:41.263] iteration 20 : loss : 0.447188 cons_dist: 0.011394, loss_weight: 0.000674
[17:31:42.159] iteration 21 : loss : 0.527298 cons_dist: 0.067072, loss_weight: 0.000674
[17:31:43.056] iteration 22 : loss : 0.441564 cons_dist: 0.040128, loss_weight: 0.000674
[17:32:21.720] Namespace(root_path='../data/2018LA_Seg_Training Set/', exp='UAMT-MT-BAM-UNLABEL', max_iterations=6000, batch_size=4, labeled_bs=2, base_lr=0.01, deterministic=1, seed=1337, gpu='0', ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=40.0)
[17:32:22.053] 8 itertations per epoch
[17:32:24.144] iteration 1 : loss : 0.679200 cons_dist: 0.179350, loss_weight: 0.000674
[17:32:24.724] iteration 2 : loss : 0.621695 cons_dist: 0.033633, loss_weight: 0.000674
[17:32:25.300] iteration 3 : loss : 0.655444 cons_dist: 0.029841, loss_weight: 0.000674
[17:32:25.878] iteration 4 : loss : 0.555825 cons_dist: 0.042560, loss_weight: 0.000674
[17:32:26.455] iteration 5 : loss : 0.543980 cons_dist: 0.005125, loss_weight: 0.000674
[17:32:27.030] iteration 6 : loss : 0.558947 cons_dist: 0.042004, loss_weight: 0.000674
[17:32:27.608] iteration 7 : loss : 0.573192 cons_dist: 0.014076, loss_weight: 0.000674
[17:32:28.185] iteration 8 : loss : 0.567198 cons_dist: 0.002703, loss_weight: 0.000674
[17:32:29.309] iteration 9 : loss : 0.525255 cons_dist: 0.069193, loss_weight: 0.000674
[17:32:29.886] iteration 10 : loss : 0.372003 cons_dist: 0.019991, loss_weight: 0.000674
[17:32:30.463] iteration 11 : loss : 0.528207 cons_dist: 0.017159, loss_weight: 0.000674
[17:32:31.040] iteration 12 : loss : 0.442940 cons_dist: 0.021417, loss_weight: 0.000674
[17:32:31.618] iteration 13 : loss : 0.501133 cons_dist: 0.016080, loss_weight: 0.000674
[17:32:32.196] iteration 14 : loss : 0.496436 cons_dist: 0.007638, loss_weight: 0.000674
[17:32:32.774] iteration 15 : loss : 0.481639 cons_dist: 0.036428, loss_weight: 0.000674
[17:32:33.353] iteration 16 : loss : 0.488788 cons_dist: 0.027818, loss_weight: 0.000674
[17:32:34.537] iteration 17 : loss : 0.520280 cons_dist: 0.005180, loss_weight: 0.000674
[17:32:35.119] iteration 18 : loss : 0.476712 cons_dist: 0.022808, loss_weight: 0.000674
[17:32:35.702] iteration 19 : loss : 0.479728 cons_dist: 0.080594, loss_weight: 0.000674
[17:32:36.281] iteration 20 : loss : 0.488084 cons_dist: 0.002957, loss_weight: 0.000674
[17:32:36.861] iteration 21 : loss : 0.501766 cons_dist: 0.009064, loss_weight: 0.000674
[17:32:37.440] iteration 22 : loss : 0.466587 cons_dist: 0.002696, loss_weight: 0.000674
[17:32:38.020] iteration 23 : loss : 0.461270 cons_dist: 0.006751, loss_weight: 0.000674
[17:32:38.600] iteration 24 : loss : 0.365058 cons_dist: 0.027626, loss_weight: 0.000674
[17:32:39.761] iteration 25 : loss : 0.476861 cons_dist: 0.001858, loss_weight: 0.000674
[17:32:40.342] iteration 26 : loss : 0.493226 cons_dist: 0.040998, loss_weight: 0.000674
[17:32:40.924] iteration 27 : loss : 0.435923 cons_dist: 0.007554, loss_weight: 0.000674
[17:32:41.504] iteration 28 : loss : 0.439151 cons_dist: 0.009024, loss_weight: 0.000674
[17:32:42.085] iteration 29 : loss : 0.366238 cons_dist: 0.009403, loss_weight: 0.000674
[17:32:42.665] iteration 30 : loss : 0.451662 cons_dist: 0.009385, loss_weight: 0.000674
[17:32:43.246] iteration 31 : loss : 0.451061 cons_dist: 0.029275, loss_weight: 0.000674
[17:32:43.827] iteration 32 : loss : 0.453096 cons_dist: 0.009915, loss_weight: 0.000674
[17:32:45.081] iteration 33 : loss : 0.386745 cons_dist: 0.006290, loss_weight: 0.000674
